Filename,Asset Version,Asset Generator,Number of Scenes,Number of Nodes,Number of Meshes,Number of Materials,Number of Animations,Number of Textures,Number of Images,Number of Buffers,Extensions Used,Extensions Required,Count_Extensions_Used,Cluster,PCA1,PCA2
Artemis_Fountain.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,4,4,1,[],[],0,0,-0.3826538328895153,-0.25801844138471597
casa_dello_scheletro_at_herculaneum.glb,2.0,Sketchfab-12.67.0,1,21,19,1,0,0,0,1,['KHR_materials_unlit'],[],1,2,-0.7377732068159538,0.09902924655329579
palace_of_the_popes_avignon_france.glb,2.0,Sketchfab-13.19.0,1,53,49,1,0,1,1,1,[],[],0,0,-0.26216308137026656,0.5587430589721856
Starry_Night_Diorama_Tilt_Brush.glb,2.0,pygltflib@v1.16.3,1,36,14,3,0,1,1,1,[],[],0,0,-0.39991802376914826,0.0997132361047052
buckingham_palace.glb,2.0,Sketchfab-15.58.0,1,10,6,1,0,1,1,1,[],[],0,0,-0.5988027803037,-0.0357858483277916
brandenburg_gate_germany.glb,2.0,Sketchfab-12.68.0,1,51,49,6,0,6,6,1,['KHR_materials_unlit'],[],1,2,0.22530745846606376,0.08264926960351579
Monastery_of_Hosios_Loukas_Greece.glb,2.0,pygltflib@v1.16.3,1,12,4,1,0,1,1,1,[],[],0,0,-0.6039918683755647,-0.0475074981904566
Stonehenge_Replica_-_Historical_Series_Britanni.glb,2.0,pygltflib@v1.16.3,1,7,1,1,0,1,1,1,[],[],0,0,-0.6327126451706494,-0.09695168789168014
Louis_XIV_de_France_Louvre_Paris.glb,2.0,pygltflib@v1.16.3,1,14,5,2,0,2,2,1,[],[],0,0,-0.4647478069631577,-0.10545977823239547
Chrysanthemums_by_a_Stream_byōbu.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,3,3,1,[],[],0,0,-0.46687915134519703,-0.20565709500817175
Seven_Stars_Brick_Lane.glb,2.0,pygltflib@v1.16.3,1,46,21,1,0,1,1,1,[],[],0,0,-0.4264103223832554,0.255244958175762
intipunku_peru.glb,2.0,Sketchfab-15.55.0,1,4,2,1,0,1,1,1,[],[],0,0,-0.6353523873065391,-0.0990562916871542
petronas_towers.glb,2.0,Sketchfab-13.15.0,1,5,1,1,0,1,1,1,['KHR_materials_pbrSpecularGlossiness'],['KHR_materials_pbrSpecularGlossiness'],1,2,-0.789232545928027,-0.194239236942944
Iron_Hand_-_Prosthetic_Arm.glb,2.0,pygltflib@v1.16.3,1,27,11,1,0,1,1,1,[],[],0,0,-0.528252912233997,0.08113799232374261
edinburgh_castle_and_cubic_buildings_-_scotland.glb,2.0,Sketchfab-12.65.0,1,4,2,2,0,1,1,1,[],[],0,0,-0.5907796176434791,-0.12245619337409115
Betsey_Trotwood_Pub.glb,2.0,pygltflib@v1.16.3,1,40,18,1,0,1,1,1,[],[],0,0,-0.4577482422642511,0.20181805411113518
London_Bridge_Nancy_Steps.glb,2.0,pygltflib@v1.16.3,1,26,11,1,0,1,1,1,[],[],0,0,-0.5308700553199079,0.07715527796033933
the_louvre.glb,2.0,Sketchfab-16.1.0,1,53,49,1,0,1,1,1,[],[],0,0,-0.26216308137026656,0.5587430589721856
Rồng.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,1,1,1,[],[],0,0,-0.6353297882565604,-0.10093440225508339
Column_base_Gujurat_Western_India.glb,2.0,pygltflib@v1.16.3,1,8,2,1,0,1,1,1,[],[],0,0,-0.6248838149628951,-0.08312543423354114
